Stage,hpf
1,0.9
2,5.85
3,11.25
4,16.65
5,18
6,21.6
7,22.5
8,24.75
9,27.9
10,31.95
11,38.25
12,42.3
13,45
14,46.35
15,47.25
16,48.15
17,52.2
18,60.3
19,63
20,63.9
21,75.6
22,81
23,86.4
24,97.2
25,102.6
26,108
27,113.4
28,124.2
29,135
30,145.8
31,156.6
32,162
33,167.4
34,172.8
35,183.6
36,216
37,237.6
38,259.2
39,280.8
40,302.4
41,324
42,345.6
43,367.2
44,388.8
45,421.2
46,442.8
